feature,importance
R_22_min_6,0.00070751476
D_58_min_12,0.00070747396
D_44_min_12,0.00070648314
P_2_max_6,0.0007025285
D_134_min_6,0.0007004055
B_10_max_12,0.000698283
D_118_max_6,0.0006971584
S_26_min_12,0.0006969067
B_3_min_12,0.0006964548
S_20_min_6,0.00069541327
D_141_mean_12,0.0006946722
R_21_mean_6,0.00069376285
D_115_min_6,0.000693686
D_94_max_12,0.0006929425
B_24_mean_6,0.0006920214
D_54_latest,0.0006905218
D_123_max_12,0.00069034635
D_115_mean_12,0.00069012656
R_5_min_12,0.000687919
D_131_max_6,0.00068383216
D_61_mean_6,0.00068329024
D_54_mean_12,0.0006826601
R_11_mean_6,0.00068208063
D_122_mean_6,0.00068008027
S_15_min_6,0.00067976426
R_9_latest,0.00067958666
D_58_max_6,0.0006773083
B_17_min_12,0.00067671377
B_38_5.0_RespRate_12,0.0006764491
R_21_max_12,0.00067540735
B_21_min_6,0.0006749606
D_53_latest,0.0006746367
D_84_min_6,0.00067366275
R_15_max_12,0.0006727215
B_5_mean_12,0.00067106733
B_26_mean_6,0.0006709815
B_7_min_12,0.00067085936
D_69_latest,0.00067007367
R_9_mean_6,0.00066988287
D_129_min_12,0.00066974806
D_39_mean_6,0.00066927867
D_130_max_6,0.00066678424
D_118_min_12,0.00066647754
D_136_min_6,0.00066506834
D_123_min_6,0.00066378486
D_117_3.0_RespRate_6,0.00066236174
R_18_min_6,0.0006613061
D_94_min_12,0.0006611586
R_8_latest,0.00066062226
D_62_mean_6,0.00066050206
P_3_latest,0.00066022534
D_132_mean_12,0.0006597637
B_32_max_12,0.00065974105
D_43_min_12,0.0006596839
B_28_mean_6,0.00065942
B_41_mean_12,0.0006588679
D_127_min_6,0.0006588095
D_105_mean_6,0.0006583514
D_61_min_12,0.0006581664
B_24_min_12,0.00065801997
S_23_max_12,0.00065668527
D_115_max_6,0.00065620034
R_14_max_12,0.0006557527
D_102_mean_12,0.0006548929
B_36_latest,0.00065451494
S_27_min_12,0.00065371505
D_124_max_12,0.00065259
B_19_max_12,0.0006520181
D_102_max_12,0.00065125205
D_45_min_12,0.00065070926
D_51_mean_6,0.0006506528
B_9_mean_12,0.00064995687
D_71_mean_12,0.00064801436
D_80_max_6,0.0006472683
S_23_min_12,0.00064669515
P_4_max_12,0.00064663606
D_104_min_6,0.00064652995
R_14_mean_6,0.0006428465
R_1_mean_12,0.00064269535
R_7_min_6,0.0006412106
D_140_max_6,0.0006410361
D_70_latest,0.0006393936
D_48_min_12,0.00063919695
D_103_min_12,0.0006383091
D_91_mean_6,0.0006375669
D_138_latest,0.0006374758
S_27_latest,0.0006372705
B_40_mean_6,0.0006367948
D_103_mean_12,0.0006367329
D_80_min_12,0.0006364339
D_119_mean_6,0.00063582713
D_77_mean_6,0.00063451007
D_78_mean_12,0.00063450576
B_19_mean_12,0.00063442683
R_7_max_6,0.0006340536
R_14_min_6,0.0006305945
R_6_max_6,0.0006303035
S_26_mean_6,0.00063020526
R_8_max_6,0.00062910345
R_16_max_6,0.00062905776
R_3_max_12,0.0006288103
D_102_latest,0.0006286073
B_38_2.0_latest,0.0006282805
B_19_mean_6,0.00062822446
R_2_max_6,0.0006270611
D_123_min_12,0.00062628044
D_83_mean_6,0.0006259955
R_16_mean_12,0.0006257069
S_19_latest,0.000625536
D_70_mean_6,0.00062519877
D_89_mean_12,0.00062471145
D_128_mean_12,0.0006222727
B_33_latest,0.00062191155
D_141_min_6,0.0006218472
R_22_latest,0.00062026543
D_53_min_6,0.0006194126
S_27_max_12,0.00061818375
D_139_mean_6,0.0006181104
R_5_mean_6,0.0006180192
D_80_mean_12,0.0006178562
S_17_min_12,0.0006178259
D_96_mean_6,0.00061757374
R_24_min_12,0.0006173753
D_70_min_12,0.0006161407
B_6_min_12,0.0006158801
D_107_latest,0.000615678
D_47_mean_12,0.00061507616
D_41_mean_6,0.0006149346
B_6_max_6,0.0006147861
D_131_min_6,0.00061443774
R_13_max_6,0.00061405223
R_2_min_12,0.00061305775
D_139_latest,0.00061234744
D_82_max_12,0.00061221776
D_123_mean_6,0.0006113226
D_60_latest,0.0006107503
D_133_min_12,0.0006104791
D_72_mean_12,0.00061011646
D_92_min_12,0.00060931186
S_18_min_6,0.00060897355
B_9_min_6,0.00060733414
R_4_latest,0.00060682365
S_22_mean_6,0.0006059528
B_10_mean_12,0.00060339615
R_16_min_12,0.0006025483
R_7_min_12,0.0006024686
D_75_min_12,0.00060203
D_63_CR_RespRate_12,0.0006019641
B_20_latest,0.0006014421
B_6_max_12,0.00060142716
S_23_min_6,0.0006013722
D_141_max_12,0.00060102256
R_25_min_6,0.0006008089
R_18_max_6,0.00060056185
D_92_mean_12,0.00060055015
S_26_latest,0.0005997237
D_76_max_12,0.00059945177
B_2_mean_12,0.0005994353
